,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,ECN11103 (E3) [ECE3],ECN11102 (E2) [ECE1] / ECN11103 (E3) [ECE3],ECN11102 (E2) [ECE1],,PHM11501 [FN4],,,,,ECN11102 [NLH2]
Tuesday,MAN11101 [GS8],ECN11103 (E1) [ECE3],ECN11103 (E1) [ECE3],ECN11102 (E1) [ECE1] / ECN11101 (E3) [ECE2] / ECN11103 (E2) [ECE3],ECN11102 (E1) [ECE1] / ECN11101 (E3) [ECE2] / ECN11103 (E2) [ECE3],,ECN11102 [GS8],ECN11101 [SEW1],CSN11601 [SEW7],PHM11501 [NLH2]
Wednesday,,ECN11101 [SEW10],CSN11601 (E1) [CCTF],CSN11601 (E1) [CCTF] / ECN11102 (E3) [ECE1],ECN11102 (E3) [ECE1],,,,PHM11501 (E3) [physics lab],PHM11501 (E3) [physics lab]
Thursday,ECN11101 (E2) [ECE2],ECN11101 (E2) [ECE2],,,MAN11101 [FE18],,MAN11101 [SEW8],,,MAN11101 [SEW10]
Friday,,,,ECN11103 [FN3],,,CSN11601 (E2) [CCTF],CSN11601 (E2) [CCTF],,PHM11501 [FE16]
Saturday,CSN11601 (E3) [CCTF],CSN11601 (E3) [CCTF],PHM11501 (E2) [physics lab] / ECN11101 (E1) [ECE2],PHM11501 (E2) [physics lab] / ECN11101 (E1) [ECE2],CSN11601 [FE16],,,,PHM11501 (E1) [physics lab],PHM11501 (E1) [physics lab]
