,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,ME15101 (H3) [CAD],ME15101 (H3) [CAD],ME15101 (H1) [CAD],ME15101 (H1) [CAD],,,ME15103 [FN4],ME15103 (H3) [mechanical workshop],ME15103 (H3) [mechanical workshop]
Tuesday,,ME15102 [GS4],ME15101 [CSNB1],ME15101 (H2) [CAD],ME15101 (H2) [CAD],,,ME15104 (H2) [heat engine],ME15104 (H2) [heat engine],
Wednesday,ME15103 (H1) [mechanical workshop],ME15102 (H2) [CAD] / ME15103 (H1) [mechanical workshop] / ME15104 (H3) [heat engine],ME15102 (H2) [CAD] / ME15104 (H3) [heat engine],ME15104 [GS6],,,HS15101 [CSNB2],ME15103 (H2) [mechanical workshop] / ME15104 (H1) [heat engine],ME15103 (H2) [mechanical workshop] / ME15104 (H1) [heat engine],ME15101 [GS3]
Thursday,ME15102 (H1) [CAD],ME15102 (H1) [CAD],,HS15101 [FE18],ME15101 [GS3],,,ME15102 [SEW7],ME15102 [GS7],
Friday,,,,ME15101 [FEW15],ME15103 [FN3],,ME15103 [FE18],ME15104 [SEW7],HS15101 [NLH1],
Saturday,,ME15102 [SMS1],ME15102 (H3) [CAD],ME15102 (H3) [CAD],ME15103 [FN1],,ME15104 [FEW1],ME15104 [SEW10],,
