,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,CS17102 [FN4],,,CS17101 [GS3],,,,,
Tuesday,,CS17311 [SEW10],,CS17102 [FN3],,,,,CS17311 [GS3],CS17311 [GS3]
Wednesday,,CS17101 [GS3],,,,,CS17101 (B3) [CSED - L2],CS17101 (B3) [CSED - L2],OE17501 [SEW7],
Thursday,,,CS17301 [SEW10],,,,CS17101 (B1) [CSED - L2],CS17101 (B1) [CSED - L2],CS17101 (B2) [CSED - L2],CS17101 (B2) [CSED - L2]
Friday,,,,CS17101 [FN1],,,OE17501 [CSNB1],OE17501 [SMS3],,
Saturday,,CS17101 [SEW7],CS17301 [GS3],,,,CS17102 [SEW8],CS17301 [FC5],,
