,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,,CSN11103 [FEW1],,,,CSN11101 [SEW10],CSN11601 (D2) [CCSF],CSN11601 (D2) [CCSF] / CSN11101 (D1) [CSED - L1],CSN11101 (D1) [CSED - L1]
Tuesday,,CSN11101 [GS7],,,,,MAN11101 [GS3],CSN11601 [GS7],CSN11601 (D3) [CCSF],CSN11601 (D3) [CCSF]
Wednesday,PHM11501 [FE16],MAN11101 [GS5],MAN11101 [CSNB2],,CSN11102 [FN3],,CSN11101 (D2) [CSED - L1],CSN11101 (D2) [CSED - L1],PHM11501 [NLH1],CSN11102 [NLH2]
Thursday,,,MAN11101 [GS5],CSN11601 [SEW8],,,CSN11103 [GS6],PHM11501 [FEW1],,
Friday,,PHM11501 (D1) [physics lab],PHM11501 (D1) [physics lab],CSN11102 [SEW8],,,PHM11501 (D3) [physics lab],PHM11501 (D3) [physics lab],PHM11501 (D2) [physics lab] / CSN11101 (D3) [CSED - L1],PHM11501 (D2) [physics lab] / CSN11101 (D3) [CSED - L1]
Saturday,,CSN11601 (D1) [CCSF],CSN11601 (D1) [CCSF],,,,,CSN11101 [GS3],,
