,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,MA15101 [FEW1],BT15110 [FN3],,,,,HS15101 [SMS2],HS15101 [FE18],BT15111 [GS6],HS15101 [FE16]
Tuesday,BT15111 [SEW10],BT15112 (K1) [bio lab],BT15112 (K1) [bio lab],,BT15112 [GS3],,,BT15113 [GS3],MA15101 [SEW9],BT15113 [CSNB2]
Wednesday,,BT15110 (K1) [bio lab],BT15110 (K1) [bio lab],,,,BT15111 (K1) [bio lab],BT15111 (K1) [bio lab],,
Thursday,BT15111 (K2) [bio lab],BT15111 (K2) [bio lab],BT15112 [CSNB1],BT15110 [FC5],,,,,BT15112 (K2) [bio lab],BT15112 (K2) [bio lab]
Friday,BT15111 [FEW15],,BT15113 [SEW10],,,,,BT15110 [GS7],BT15113 [LH4],MA15101 [FE17]
Saturday,BT15111 [FE18],BT15110 [FEW1],BT15110 (K2) [bio lab],BT15110 (K2) [bio lab],,,,,BT15112 [CSNB1],MA15101 [CSNB2]
