,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,MA53102 [FE17],MA53303 [LH4],MA53104 [GW4],MA53101 [GW10],,,,MA53101 [GW8],
Tuesday,,MA53303 [GW12],,,MA53101 [LH1],,MA53102 [SEW9],MA53104 [LH3],MA53302 [GW10],
Wednesday,,MA53303 [SEW9],MA53104 [SMS2],,,,,MA53103 [LH7],MA53303 [LH2],
Thursday,,MA53102 [GS3],MA53103 [SEW7],,MA53302 [SEW7],,,MA53102 [GS8],,MA53302 [LH1]
Friday,,,,,,,,,MA53104 [GW9],MA53103 [FE18]
Saturday,,,,MA53101 [GW5],MA53103 [SMS2],,,,MA53302 [GW6],
