,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,BT17304 [SEW8],,,,,,,BT17303 (K2) [bio lab],BT17303 (K2) [bio lab],
Tuesday,,BT17303 [SEW7],BT17305 [NLH1],BT17301 [GS6],,,OE17501 [SMS1],BT17301 (K1) [bio lab],BT17301 (K1) [bio lab],BT17305 [LH3]
Wednesday,,BT17301 [CSNB1],BT17304 [FE18],BT17301 (K2) [bio lab],BT17301 (K2) [bio lab],,,,,
Thursday,,,,BT17303 [SEW1],BT17303 [SEW9],,BT17303 (K1) [bio lab],BT17303 (K1) [bio lab],,
Friday,,,,,,,,,BT17305 [FEW15],BT17301 [LH3]
Saturday,BT17304 [SEW7],,,OE17501 [SMS1],OE17501 [GS7],,,,,
