,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,,,,,,CYN11503 [SEW9],,BTN11101 [GS5],
Tuesday,MAN11101 [FE17],,,,BTN11102 [SMS3],,,,CYN11503 [SEW8],
Wednesday,BTN11101 [SMS2],,,,,,,,MAN11101 [FN1],
Thursday,,,,,,,MAN11101 [GS4],,,BTN11102 [FE18]
Friday,BTN11101 (K2) [bio lab],BTN11101 (K2) [bio lab],CYN11503 (K2) [chemistry lab],CYN11503 (K2) [chemistry lab],,,BTN11102 [SMS1],,MAN11101 [GS8],
Saturday,,CYN11503 [GS6],CYN11503 (K1) [chemistry lab],CYN11503 (K1) [chemistry lab],,,BTN11101 (K1) [bio lab],BTN11101 (K1) [bio lab],,
