,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,AMN13101 (M2) [SOM],AMN13101 (M2) [SOM],AMN13101 [SEW1],,,,,AMN13106 [FN3],,
Tuesday,,,,EEN13200 [SEW8],PIN13103 [CSNB1],,EEN13200 (M1) [EE-lab3],EEN13200 (M1) [EE-lab3],,
Wednesday,AMN13106 [LH4],AMN13101 (M1) [SOM],AMN13101 (M1) [SOM],,,,,,PIN13102 [GS4],PIN13101 [FN4]
Thursday,,,AMN13101 [NLH2],,AMN13101 [SMS1],,,PIN13103 [NLH2],PIN13101 [GS8],
Friday,PIN13102 [SEW10],PIN13101 (M1) [industry lab] / EEN13200 (M2) [EE-lab3],PIN13101 (M1) [industry lab] / EEN13200 (M2) [EE-lab3],PIN13102 (M2) [prod lab 1],PIN13102 (M2) [prod lab 1],,,EEN13200 [FN4],PIN13101 (M2) [industry lab] / PIN13102 (M1) [prod lab 1],PIN13101 (M2) [industry lab] / PIN13102 (M1) [prod lab 1]
Saturday,,PIN13101 [FC5],,,PIN13102 [SMS1],,,,AMN13106 [LH4],PIN13103 [GS3]
