,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,CSN11103 [FN4],,CSN11101 [SMS3],MAN11101 [FN3],CSN11103 [FN1],,MAN11101 [CSNB1],,,
Tuesday,CSN11601 (B3) [CCSF],CSN11601 (B3) [CCSF],,,CSN11102 [SEW7],,,CSN11101 [CSNB1],PHM11501 [FN3],CSN11601 [FN4]
Wednesday,PHM11501 [GS3],,PHM11501 [NLH1],CSN11102 [FN4],MAN11101 [GS6],,MAN11101 [FC5],,,
Thursday,PHM11501 (B1) [physics lab],PHM11501 (B1) [physics lab],PHM11501 (B2) [physics lab],PHM11501 (B2) [physics lab] / CSN11601 (B1) [CCSF],CSN11601 (B1) [CCSF],,,,PHM11501 (B3) [physics lab],PHM11501 (B3) [physics lab]
Friday,,,,,CSN11601 [CSNB2],,,,CSN11101 [FC5],
Saturday,CSN11101 (B3) [CSED - L1],CSN11101 (B3) [CSED - L1],CSN11101 (B2) [CSED - L1],CSN11101 (B2) [CSED - L1],,,CSN11102 [SMS3],CSN11101 (B1) [CSED - L1],CSN11601 (B2) [CCSF] / CSN11101 (B1) [CSED - L1],CSN11601 (B2) [CCSF]
