,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,CS17101 (A1) [CSED - L2],CS17101 (A1) [CSED - L2],CS17101 [GS5],,,OE17501 [GS8],,,
Tuesday,,,,CS17101 [CSNB2],,,CS17101 (A2) [CSED - L2],CS17101 (A2) [CSED - L2],,OE17501 [SEW9]
Wednesday,CS17102 [GS6],,,,CS17311 [FEW1],,,,CS17101 [SEW1],CS17311 [GS5]
Thursday,,,,,CS17301 [NLH2],,,CS17102 [CSNB2],OE17501 [CSNB2],
Friday,,,,CS17101 (A3) [CSED - L2],CS17101 (A3) [CSED - L2],,CS17311 [FC5],,,CS17101 [GS8]
Saturday,,CS17301 [GS3],,,CS17102 [SEW7],,,CS17301 [FEW15],,
