,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,EEN11102 [FE17],HSN11600 [FN1],,CYN11501 [SEW9],,,,CYN11501 (N3) [chemistry lab],CYN11501 (N3) [chemistry lab] / EEN11101 (N2) [EE-lab1],EEN11101 (N2) [EE-lab1]
Tuesday,CYN11501 (N1) [chemistry lab],CYN11501 (N1) [chemistry lab] / EEN11102 (N3) [EE-lab2],EEN11102 (N3) [EE-lab2],,EEN11102 [FN4],,CYN11501 [GS4],,HSN11600 (N3) [comm lab],HSN11600 (N3) [comm lab]
Wednesday,,MAN11101 [FEW15],,MEN11602 (N1) [mechanical workshop],MEN11602 (N1) [mechanical workshop],,MAN11101 [SEW7],,EEN11101 [SEW10],
Thursday,,,,EEN11102 (N1) [EE-lab2] / MEN11602 (N2) [mechanical workshop],EEN11102 (N1) [EE-lab2] / MEN11602 (N2) [mechanical workshop],,HSN11600 (N2) [comm lab],HSN11600 (N2) [comm lab] / EEN11101 (N3) [EE-lab1],EEN11101 (N3) [EE-lab1],MAN11101 [SEW8]
Friday,,,HSN11600 (N1) [comm lab],HSN11600 (N1) [comm lab] / EEN11102 (N2) [EE-lab2],EEN11102 (N2) [EE-lab2],,CYN11501 (N2) [chemistry lab],CYN11501 (N2) [chemistry lab] / EEN11101 (N1) [EE-lab1],EEN11101 (N1) [EE-lab1],
Saturday,,CYN11501 [SEW10],EEN11101 [FEW1],MEN11602 (N3) [mechanical workshop],MEN11602 (N3) [mechanical workshop],,MAN11101 [GS3],MEN11602 [FN3],HSN11600 [FN4],
