,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,,,EG3D [LH3],,,,,,MAN11101 [SEW9]
Tuesday,,,,MAN11101 [GS7],,,HSN11600 (I1) [comm lab] / CEN11101 (I2) [survey lab],HSN11600 (I1) [comm lab] / CEN11101 (I2) [survey lab],EG3D (I2) [EG3D],EG3D (I2) [EG3D]
Wednesday,MAN11101 [SEW7],,,,MAN11101 [LH3],,HSN11600 (I2) [comm lab],HSN11600 (I2) [comm lab],CEN11102 [FE16],
Thursday,CEN11102 [LH4],,CEN11101 [CSNB2],CEN11101 (I1) [survey lab],CEN11101 (I1) [survey lab],,,CEN11102 (I1) [pss lab],CEN11102 (I1) [pss lab],CYN11504 [GS8]
Friday,CYN11504 (I2) [chemistry lab],CYN11504 (I2) [chemistry lab],,EG3D (I1) [EG3D],EG3D (I1) [EG3D],,,,HSN11600 [SMS1],
Saturday,CYN11504 (I1) [chemistry lab] / CEN11102 (I2) [pss lab],CYN11504 (I1) [chemistry lab] / CEN11102 (I2) [pss lab],,CYN11504 [FN3],CYN11504 [FE18],,,,HSN11600 [FE17],CEN11101 [FE17]
