,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,ECN13103 [GS6],ECN13104 [GS4],,EAN13700 [FEW15],,ECN13101 [GS5],EEN13401 [SEW1],ECN13103 [GS4],
Tuesday,CSN13404 [FE16],ECN13101 [SMS3],,EEN13401 [GS5],,,CSN13404 (F3) [CCSF],CSN13404 (F3) [CCSF],,
Wednesday,HSN13602 [FEW1],CSN13404 [SMS3],ECN13102 [GS3],ECN13101 [FE16],CSN13404 [NLH1],,,,ECN13103 (F3) [ECE5],ECN13103 (F3) [ECE5]
Thursday,EEN13401 [CSNB2],CSN13404 (F2) [CCSF],CSN13404 (F2) [CCSF],,ECN13102 [GS4],,,ECN13102 [GS7],ECN13104 (F1) [ECE4],ECN13104 (F1) [ECE4]
Friday,ECN13103 (F2) [ECE5],ECN13103 (F2) [ECE5],HSN13602 [FC5],ECN13104 [FEW1],ECN13104 [FN4],,,,ECN13104 (F3) [ECE4],ECN13104 (F3) [ECE4]
Saturday,ECN13103 (F1) [ECE5] / ECN13104 (F2) [ECE4],ECN13103 (F1) [ECE5] / ECN13104 (F2) [ECE4],ECN13103 [FN4],EAN13700 [GS5],,,CSN13404 (F1) [CCSF],CSN13404 (F1) [CCSF],HSN13602 [NLH2],
