,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,EC15103 [GS4],,EC15105 [NLH2],,,,EC15105 (E1) [ECE4],EC15105 (E1) [ECE4],EE15111 [GS5]
Tuesday,EC15102 [CSNB1],,,EC15104 [GS3],EC15102 [FE16],,,EC15104 (E1) [ECE2] / EE15111 (E2) [ECE3],EC15104 (E1) [ECE2] / EE15111 (E2) [ECE3] / EC15105 (E3) [ECE4],EC15105 (E3) [ECE4]
Wednesday,EC15105 (E2) [ECE4],EC15105 (E2) [ECE4],,EC15105 [FEW15],,,,,EC15104 [CSNB2],EC15105 [GS4]
Thursday,,,EC15104 (E2) [ECE2],EC15104 (E2) [ECE2] / EE15111 (E1) [ECE3],EE15111 (E1) [ECE3],,EC15104 [NLH2],,EE15111 [FN3],EC15104 [FE17]
Friday,EC15101 [SEW7],EC15102 (E1) [ECE1],EC15102 (E1) [ECE1],,,,,EC15103 [GS3],EC15102 (E3) [ECE1],EC15102 (E3) [ECE1]
Saturday,EC15101 [GS5],EC15101 [NLH2],EC15103 [SEW10],EE15111 (E3) [ECE3],EE15111 (E3) [ECE3],,EC15102 (E2) [ECE1] / EC15104 (E3) [ECE2],EC15102 (E2) [ECE1] / EC15104 (E3) [ECE2],EE15111 [GS3],EC15102 [FN1]
