,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,CE15102 (I2) [transportation],CE15102 (I2) [transportation],,CE15101 [FE16],,,,CE15102 [NLH1],CE15105 [LH4],CE15103 [FN1]
Tuesday,,AM15101 [FN1],,CE15102 (I1) [transportation],CE15102 (I1) [transportation],,CE15105 [FE18],CE15104 [NLH1],CE15104 [FN4],CE15104 [GS6]
Wednesday,AM15101 (I1) [structure lab],AM15101 (I1) [structure lab],,,,,CE15101 (I1) [geotech],CE15101 (I1) [geotech],CE15104 [GS5],CE15101 [GS8]
Thursday,CE15101 (I2) [geotech],CE15101 (I2) [geotech],,CE15103 [GS3],,,CE15103 [FN4],,,CE15102 [SMS2]
Friday,CE15105 [FE16],CE15101 [SEW10],CE15101 [FEW15],CE15102 [FE18],,,,CE15103 [GS8],AM15101 [FEW1],CE15102 [SEW1]
Saturday,,AM15101 (I2) [structure lab],AM15101 (I2) [structure lab],AM15101 [NLH1],,,CE15105 [GS4],,AM15101 [LH3],
