,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,MA51101 [SEW1],,,MA51103 [FE17],,MA51103 [FN3],MA51102 [GW11],,
Tuesday,,MA51104 [SMS2],,,,,,,,MA51104 [GS7]
Wednesday,MA51102 [GW5],MA51103 [GW10],,,MA51101 [GW12],,,MA51104 [GW6],,
Thursday,,,,MA51102 [GW9],,,,MA51103 [FN4],,
Friday,,,,MA51101 [GS7],,,,MA51104 [GS5],MA51102 [GW10],
Saturday,,,MA51101 [FEW15],,,,,,,
