,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,CHN13104 [FE18],MAN13101 [NLH2],,,CHN13103 [SEW10],,,,,
Tuesday,CHN13105 [LH3],,CHN13104 (L2) [chem lab6],CHN13104 (L2) [chem lab6],,,HSN13601 [SEW7],CHN13104 (L1) [chem lab6],CHN13104 (L1) [chem lab6],
Wednesday,,,CHN13105 (L2) [chem lab5],CHN13105 (L2) [chem lab5],,,,CHN13104 [SMS1],,HSN13601 [CSNB1]
Thursday,,,,,,,,CHN13103 [FN3],,CHN13103 [CSNB1]
Friday,CHN13105 [CSNB2],CHN13104 [LH4],CHN13104 [GS8],,CHN13103 [FEW1],,MAN13101 [FE16],CHN13105 (L1) [chem lab5],CHN13105 (L1) [chem lab5],
Saturday,CHN13105 [SEW1],HSN13601 [LH3],,,,,,CHN13105 [SEW1],MAN13101 [SMS3],
