,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,,ME17304 [GS5],ME17101 [GS4],ME17309 [SMS2],,,,ME17301 [CSNB1],ME17308 [CSNB2]
Tuesday,,,,,,,,,,
Wednesday,ME17309 [GS7],,ME17307 [SEW8],,ME17304 [FEW15],,,,,
Thursday,ME17304 [GS7],,ME17304 [FN4],,,,,,ME17307 [NLH1],
Friday,ME17101 [GS5],ME17309 [SEW7],,,ME17307 [SEW1],,ME17101 [GS4],ME17309 [NLH1],ME17301 [FE16],ME17308 [FC5]
Saturday,,ME17101 [CSNB2],ME17301 [CSNB1],ME17308 [FE16],ME17307 [FE17],,ME17301 [GS7],,ME17308 [FEW15],
