,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,MAN13102 [FC5],,BTN13101 (K2) [bio lab],BTN13101 (K2) [bio lab],,BTN13250 [LH3],,BTN13251 [FEW1],
Tuesday,,BTN13103 [SMS1],,BTN13101 [FN1],BTN13102 [CSNB2],,,,,
Wednesday,,,HSN13601 [GS6],BTN13251 [SMS2],BTN13101 [GS5],,BTN13103 [NLH2],HSN13601 [FEW1],BTN13102 (K1) [bio lab],BTN13102 (K1) [bio lab]
Thursday,BTN13103 [SEW10],BTN13251 [FN4],BTN13102 [NLH1],MAN13102 [FN4],,,,,,BTN13103 [NLH2]
Friday,HSN13601 [LH4],BTN13101 [FC5],,BTN13102 (K2) [bio lab],BTN13102 (K2) [bio lab],,MAN13102 [FN4],,BTN13102 [SMS3],
Saturday,BTN13250 [SMS3],,MAN13102 [FE17],,,,BTN13250 [FEW15],,BTN13101 (K1) [bio lab],BTN13101 (K1) [bio lab]
