,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,CE17102 [SEW7],CE17101 (I2) [concrete lab],CE17101 (I2) [concrete lab],CE17102 [LH3],,OE17501 [SMS1],OE17501 [GS5],,
Tuesday,CE17101 [GS4],CE17101 [LH4],,,,,,,,
Wednesday,,CE17305 [FN3],CE17101 [SMS3],CE17302 [GS7],,,,,CE17302 [FN3],
Thursday,,,CE17103 [GS3],,,,,,CE17101 (I1) [concrete lab],CE17101 (I1) [concrete lab]
Friday,,CE17102 [FN1],CE17305 [GS6],,,,CE17103 [LH4],CE17103 [SEW1],OE17501 [FE17],CE17302 [GS3]
Saturday,CE17302 [SMS1],,,,,,,CE17305 [GS6],CE17305 [GS8],
