,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,AMN13103 (J1) [fluid mech],AMN13103 (J1) [fluid mech],CEN13101 [GS8],,CEN13103 [CSNB2],,AMN13102 [CSNB2],,AMN13103 [SEW1],
Tuesday,,CEN13103 [FEW1],,AMN13102 (J2) [solid mech],AMN13102 (J2) [solid mech],,AMN13103 (J2) [fluid mech],AMN13103 (J2) [fluid mech],AMN13102 [LH4],CEN13103 [GS5]
Wednesday,HSN13601 [SEW9],,,AMN13102 [NLH1],,,AMN13102 (J1) [solid mech],AMN13102 (J1) [solid mech],HSN13601 [GS8],
Thursday,CEN13101 (J1) [concrete lab],CEN13101 (J1) [concrete lab],HSN13601 [SEW9],CEN13102 (J2) [geology lab],CEN13102 (J2) [geology lab],,AMN13102 [GS7],CEN13102 [SMS1],CEN13101 [GS4],
Friday,CEN13101 [NLH2],,,,AMN13103 [SMS2],,CEN13103 (J2) [survey lab],CEN13103 (J2) [survey lab],CEN13102 [NLH2],
Saturday,AMN13103 [FE17],AMN13103 [SMS3],,CEN13103 [GS4],,,CEN13103 (J1) [survey lab],CEN13103 (J1) [survey lab],CEN13101 (J2) [concrete lab] / CEN13102 (J1) [geology lab],CEN13101 (J2) [concrete lab] / CEN13102 (J1) [geology lab]
