,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,CS15103 (C2) [CSED - L3],CS15103 (C2) [CSED - L3],,CS15102 (C3) [CSED - L3],CS15102 (C3) [CSED - L3],,CS15102 [FN4],CS15102 [FC5],CS15103 (C1) [CSED - L3],CS15103 (C1) [CSED - L3]
Tuesday,,,CS15106 [SEW10],CS15101 (C3) [micro lab],CS15101 (C3) [micro lab],,,CS15101 [FE18],CS15103 [FEW1],CS15101 [SEW8]
Wednesday,,CS15104 [FN4],CS15104 [GS4],CS15101 (C1) [micro lab],CS15101 (C1) [micro lab],,CS15101 (C2) [micro lab] / CS15102 (C1) [CSED - L3],CS15101 (C2) [micro lab] / CS15102 (C1) [CSED - L3],,CS15103 [NLH1]
Thursday,,CS15104 [FN1],CS15103 [FEW1],CS15102 [FEW1],CS15101 [SMS3],,,,CS15102 [SEW9],CS15106 [SMS3]
Friday,,CS15104 [GS5],CS15103 (C3) [CSED - L3],CS15103 (C3) [CSED - L3],,,CS15106 [GS3],,CS15105 [GS6],
Saturday,CS15105 [FN3],,,,CS15105 [CSNB1],,CS15102 (C2) [CSED - L3],CS15102 (C2) [CSED - L3],CS15103 [SEW8],
