,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,,,,,,,CS31202 (MCA12) [CSED - L2],CS31202 (MCA12) [CSED - L2],
Tuesday,CS31104 [GW8],CS31103 [GW5],CS31102 [FC5],,CS31103 [GW3],,CS31201 (MCA11) [CSED - L1],CS31201 (MCA11) [CSED - L1],CS31101 [GW3],
Wednesday,CS31103 [LH3],,,,,,,CS31104 [NLH2],CS31201 (MCA12) [CSED - L1],CS31201 (MCA12) [CSED - L1]
Thursday,,CS31104 [SMS3],,,CS31101 [FEW1],,,,CS31102 [GW12],CS31101 [LH8]
Friday,,,,,,,CS31103 [GS8],,CS31202 (MCA11) [CSED - L2],CS31202 (MCA11) [CSED - L2]
Saturday,CS31102 [GW9],,CS31203 (MCA11) [CSED - L2],CS31203 (MCA11) [CSED - L2],,,,CS31203 (MCA12) [CSED - L2],CS31203 (MCA12) [CSED - L2],CS31101 [GW6]
