,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,CS15101 [SEW9],,,CS15101 (B1) [micro lab],CS15101 (B1) [micro lab],,CS15104 [SMS3],CS15104 [GS3],,CS15106 [GS6]
Tuesday,CS15106 [GS3],,CS15103 (B3) [CSED - L3],CS15103 (B3) [CSED - L3],,,,,CS15102 [FE17],
Wednesday,CS15103 [SEW10],CS15101 (B2) [micro lab],CS15101 (B2) [micro lab],CS15103 [SEW10],CS15105 [SEW1],,,CS15102 [GS8],CS15103 (B2) [CSED - L3],CS15103 (B2) [CSED - L3]
Thursday,CS15105 [FE18],CS15104 [FEW1],CS15104 [SMS3],CS15102 (B1) [CSED - L3],CS15102 (B1) [CSED - L3],,CS15106 [FE18],,CS15102 (B3) [CSED - L3],CS15102 (B3) [CSED - L3]
Friday,CS15102 (B2) [CSED - L3],CS15102 (B2) [CSED - L3],,CS15103 [NLH1],,,,CS15105 [FE17],CS15101 [SEW9],CS15103 [FEW1]
Saturday,CS15101 [SEW10],CS15102 [FE17],CS15101 (B3) [micro lab],CS15101 (B3) [micro lab],,,,CS15102 [FN4],CS15103 (B1) [CSED - L3],CS15103 (B1) [CSED - L3]
