,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,CEN13103 (I2) [survey lab],CEN13103 (I2) [survey lab],CEN13103 [NLH1],AMN13102 [SMS1],HSN13601 [GS4],,CEN13102 (I2) [geology lab] / CEN13103 (I1) [survey lab],CEN13102 (I2) [geology lab] / CEN13103 (I1) [survey lab],,
Tuesday,,HSN13601 [GS3],,AMN13102 [FEW15],,,,AMN13102 [FN4],,
Wednesday,AMN13103 [FE18],,HSN13601 [CSNB1],CEN13102 [GS3],CEN13101 [LH4],,CEN13103 [FN4],AMN13103 (I1) [fluid mech],AMN13103 (I1) [fluid mech],AMN13103 [SEW1]
Thursday,CEN13102 (I1) [geology lab] / AMN13103 (I2) [fluid mech],CEN13102 (I1) [geology lab] / AMN13103 (I2) [fluid mech],AMN13103 [LH4],CEN13101 [SEW9],,,CEN13102 [FE17],,CEN13101 [NLH2],
Friday,AMN13102 (I2) [solid mech],AMN13102 (I2) [solid mech],CEN13101 (I2) [concrete lab],CEN13101 (I2) [concrete lab] / AMN13102 (I1) [solid mech],AMN13102 (I1) [solid mech],,CEN13101 (I1) [concrete lab],CEN13101 (I1) [concrete lab],,AMN13103 [SEW10]
Saturday,AMN13102 [NLH1],,,,,,,CEN13103 [SMS2],CEN13103 [FN3],
