,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,,HS15101 [FE17],,,,,,,
Tuesday,,CH15103 [GS6],,,,,,CH15103 [LH4],CH15101 [GS5],
Wednesday,CH15102 [FC5],,,CH15101 [FE18],CH15102 [FE16],,CH15103 (L2) [chem lab3],CH15102 (L1) [mass transfer] / CH15103 (L2) [chem lab3],CH15102 (L1) [mass transfer],CH15104 [GS6]
Thursday,HS15101 [GS5],CH15101 [LH4],CH15101 [FE16],CH15102 (L2) [mass transfer],CH15102 (L2) [mass transfer],,,,CH15102 [FE17],HS15101 [CSNB2]
Friday,,,,,CH15104 [LH4],,,CH15102 [FE18],,CH15103 [GS6]
Saturday,,CH15104 [SMS2],,CH15103 [NLH2],CH15104 [SEW9],,,,CH15103 (L1) [chem lab3],CH15103 (L1) [chem lab3]
