,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,,,CE15104 [GS3],,,CE15101 (J2) [geotech] / CE15102 (J1) [transportation],CE15101 (J2) [geotech] / CE15102 (J1) [transportation],CE15101 [FN3],CE15104 [FN4]
Tuesday,,AM15101 [CSNB2],,CE15103 [FE16],CE15104 [SEW10],,,,,CE15103 [FEW15]
Wednesday,,CE15101 [NLH1],CE15101 [FE17],CE15101 [LH3],,,,CE15103 [SMS3],AM15101 [SEW8],AM15101 [FEW15]
Thursday,CE15104 [GS8],CE15102 (J2) [transportation],CE15101 (J1) [geotech] / CE15102 (J2) [transportation],CE15101 (J1) [geotech],CE15105 [FE17],,,,,
Friday,,CE15105 [SEW1],CE15102 [CSNB2],CE15103 [GS3],CE15105 [GS8],,CE15102 [SEW8],,,
Saturday,,CE15105 [CSNB1],CE15102 [SEW9],CE15102 [FEW15],AM15101 [FN4],,AM15101 (J1) [structure lab],AM15101 (J1) [structure lab],AM15101 (J2) [structure lab],AM15101 (J2) [structure lab]
