,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,CS15106 [FEW1],,,CS15103 [FEW1],,CS15102 [FE18],CS15104 [SEW9],,CS15101 [FE17]
Tuesday,CS15101 (A3) [micro lab] / CS15102 (A1) [CSED - L3],CS15101 (A3) [micro lab] / CS15102 (A1) [CSED - L3],CS15103 [SEW1],,CS15102 [FN1],,CS15103 [FE16],CS15102 [FEW15],CS15102 (A2) [CSED - L3],CS15102 (A2) [CSED - L3]
Wednesday,CS15103 (A1) [CSED - L3],CS15103 (A1) [CSED - L3],,CS15103 (A2) [CSED - L3],CS15103 (A2) [CSED - L3],,CS15106 [SEW8],CS15105 [GS7],,CS15102 [FN1]
Thursday,,CS15102 (A3) [CSED - L3],CS15102 (A3) [CSED - L3],CS15101 [GS7],,,,,CS15103 [FC5],CS15104 [NLH1]
Friday,CS15105 [GS7],,CS15104 [FEW1],,CS15106 [NLH2],,,CS15101 (A2) [micro lab],CS15101 (A2) [micro lab],
Saturday,CS15101 (A1) [micro lab],CS15101 (A1) [micro lab],,CS15103 (A3) [CSED - L3],CS15103 (A3) [CSED - L3],,,CS15101 [FE16],CS15105 [FEW1],CS15104 [SEW8]
