,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,CSN13250 (B1) [CCFF],CSN13250 (B1) [CCFF],,,CSN13402 [SEW9],,CSN13400 (B1) [CCFF],CSN13400 (B1) [CCFF],CSN13401 [FN1],
Tuesday,CSN13250 (B3) [CCFF],CSN13250 (B3) [CCFF],CSN13403 [SEW9],,CSN13402 [NLH2],,,,,
Wednesday,,CSN13250 [GS6],,,,,CSN13250 [FN3],CSN13400 [SEW1],CSN13401 [SEW9],CSN13402 [SEW10]
Thursday,CSN13400 [FEW1],,CSN13400 (B2) [CCFF],CSN13400 (B2) [CCFF],,,CSN13403 [SEW1],CSN13403 [GS6],,CSN13400 [FEW1]
Friday,,,,,,,,,CSN13250 (B2) [CCFF],CSN13250 (B2) [CCFF]
Saturday,CSN13400 [FN1],CSN13401 [NLH1],,CSN13401 [FN4],,,CSN13400 (B3) [CCFF],CSN13400 (B3) [CCFF],,
