,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,ME17309 [LH4],ME17308 [SEW10],,,,ME17111 [GS4],,,
Tuesday,,OE17501 [FE18],OE17501 [GS7],ME17308 (M2) [mech lab4],ME17308 (M2) [mech lab4],,,ME17306 [GS6],ME17306 [CSNB1],
Wednesday,ME17111 [GS5],OE17501 [LH3],ME17111 [SEW7],ME17309 [SEW8],,,ME17308 (M1) [mech lab4],ME17308 (M1) [mech lab4],ME17301 [CSNB1],
Thursday,ME17306 [FE17],,,ME17301 [CSNB2],,,ME17111 (M2) [mechanical workshop],ME17111 (M2) [mechanical workshop],ME17309 [CSNB1],
Friday,ME17111 (M1) [mechanical workshop] / ME17301 (M2) [heat engine],ME17111 (M1) [mechanical workshop] / ME17301 (M2) [heat engine],ME17111 [GS4],ME17308 [SEW10],ME17308 [FEW15],,,ME17306 [SMS1],,ME17301 [FN3]
Saturday,,ME17309 [GS5],,ME17301 (M1) [heat engine],ME17301 (M1) [heat engine],,,ME17308 [GS7],ME17301 [FN1],
