,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,CSN13403 [NLH1],CSN13400 [SMS3],,CSN13250 (D1) [CCTF],CSN13250 (D1) [CCTF],,,CSN13400 (D2) [CCTF],CSN13400 (D2) [CCTF],
Tuesday,CSN13400 [GS7],CSN13401 [FN3],CSN13250 [FE18],,,,,,,CSN13402 [SEW10]
Wednesday,,,,,CSN13401 [FE18],,,,CSN13250 (D2) [CCTF],CSN13250 (D2) [CCTF]
Thursday,,CSN13400 [FE17],CSN13250 (D3) [CCTF],CSN13250 (D3) [CCTF],,,,CSN13403 [GS3],CSN13401 [FEW15],
Friday,,CSN13402 [SEW8],,CSN13403 [GS8],CSN13250 [SEW7],,,CSN13402 [NLH2],CSN13400 (D1) [CCTF],CSN13400 (D1) [CCTF]
Saturday,,,,,,,CSN13401 [GS5],CSN13400 (D3) [CCTF],CSN13400 (D3) [CCTF],CSN13400 [SEW7]
