,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,,,,CS17311 [GS6],,,CS17301 [SEW10],OE17501 [FE16],
Tuesday,,CS17101 [SEW1],CS17101 [FEW1],,CS17101 [SEW1],,,CS17102 [SEW7],CS17311 [FN1],
Wednesday,CS17101 (C3) [CSED - L2],CS17101 (C3) [CSED - L2],,,,,OE17501 [GS6],,,
Thursday,,,,CS17101 (C2) [CSED - L2],CS17101 (C2) [CSED - L2],,,,,
Friday,CS17101 (C1) [CSED - L2],CS17101 (C1) [CSED - L2],OE17501 [GS7],,CS17102 [CSNB1],,,,CS17301 [CSNB1],
Saturday,,,CS17311 [NLH2],,,,CS17301 [GS8],,CS17101 [CSNB2],CS17102 [SMS3]
