,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,ECN13103 [FE16],CSN13404 (E1) [CCSF],CSN13404 (E1) [CCSF],ECN13103 [SMS3],,,ECN13103 (E1) [ECE5],ECN13103 (E1) [ECE5],CSN13404 [FE18],
Tuesday,,EEN13401 [FC5],ECN13102 [FE17],CSN13404 (E3) [CCSF] / ECN13103 (E2) [ECE5],CSN13404 (E3) [CCSF] / ECN13103 (E2) [ECE5],,EAN13700 [CSNB1],ECN13101 [GS5],,CSN13404 [FE16]
Wednesday,ECN13102 [SEW1],ECN13101 [SEW8],,HSN13602 [FC5],HSN13602 [SEW10],,ECN13103 [SMS3],ECN13104 (E1) [ECE4],ECN13104 (E1) [ECE4],ECN13104 [SMS3]
Thursday,,ECN13103 (E3) [ECE5],ECN13103 (E3) [ECE5],,,,ECN13102 [FC5],,,EAN13700 [FN3]
Friday,EEN13401 [GS3],EEN13401 [FN4],HSN13602 [FE16],ECN13104 (E3) [ECE4],ECN13104 (E3) [ECE4],,ECN13101 [FN3],CSN13404 (E2) [CCSF],CSN13404 (E2) [CCSF],
Saturday,CSN13404 [FE16],,ECN13104 (E2) [ECE4],ECN13104 (E2) [ECE4],,,ECN13104 [FC5],,,ECN13104 [FN3]
