,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,CSN11101 (C2) [CSED - L1],CSN11101 (C2) [CSED - L1],PHM11501 [SEW8],,,PHM11501 (C2) [physics lab],PHM11501 (C2) [physics lab],PHM11501 (C3) [physics lab],PHM11501 (C3) [physics lab]
Tuesday,,,,MAN11101 [GS8],,,,PHM11501 (C1) [physics lab],PHM11501 (C1) [physics lab],MAN11101 [FE17]
Wednesday,CSN11102 [SEW8],,CSN11101 (C3) [CSED - L1],CSN11101 (C3) [CSED - L1],,,CSN11601 (C1) [CCSF],CSN11601 (C1) [CCSF],CSN11601 (C3) [CCSF],CSN11601 (C3) [CCSF]
Thursday,CSN11103 [FEW15],CSN11101 [GS8],CSN11103 [FN3],,MAN11101 [FEW15],,CSN11101 [FEW15],,,CSN11101 [GS5]
Friday,CSN11601 (C2) [CCSF],CSN11601 (C2) [CCSF],CSN11601 [FE18],,,,CSN11101 (C1) [CSED - L1],CSN11101 (C1) [CSED - L1],CSN11601 [FN1],
Saturday,MAN11101 [SEW8],,PHM11501 [SEW7],CSN11102 [FEW1],PHM11501 [FN3],,,CSN11102 [FEW1],,
