,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,CS15106 [GS3],,CS15106 [FN4],,,CS15101 (D1) [micro lab] / CS15103 (D3) [CSED - L3],CS15101 (D1) [micro lab] / CS15103 (D3) [CSED - L3],CS15102 [SEW9],
Tuesday,CS15103 [CSNB2],CS15102 [FE17],CS15103 [FN4],CS15102 [NLH2],,,CS15103 (D1) [CSED - L3],CS15103 (D1) [CSED - L3],,CS15103 [CSNB1]
Wednesday,,CS15105 [FE18],,,,,CS15102 [GS8],,CS15101 [GS3],CS15105 [CSNB2]
Thursday,CS15101 [SEW7],CS15101 (D2) [micro lab],CS15101 (D2) [micro lab],CS15101 [SEW7],,,CS15103 (D2) [CSED - L3],CS15101 (D3) [micro lab] / CS15103 (D2) [CSED - L3],CS15101 (D3) [micro lab],
Friday,CS15106 [FN4],CS15104 [FN3],CS15103 [FN1],,,,CS15102 (D3) [CSED - L3],CS15102 (D3) [CSED - L3],CS15102 (D1) [CSED - L3],CS15102 (D1) [CSED - L3]
Saturday,CS15102 (D2) [CSED - L3],CS15102 (D2) [CSED - L3],CS15105 [FC5],,CS15104 [SEW10],,,,CS15104 [SEW9],CS15104 [FC5]
