,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,EC17311 [CSNB2],,,EC17304 [GS7],,,,,,
Tuesday,,,EC17314 [GS5],EC17302 [FE17],,,EC17313 [FC5],EC17101 [FN1],EC17101 [FEW15],
Wednesday,EC17302 [NLH2],EC17314 [FN1],OE17501 [FN1],EC17313 [FEW1],EC17301 [GS7],,,EC17301 [FN1],,EC17301 [GS7]
Thursday,,OE17501 [SEW9],,EC17314 [GS4],EC17311 [GS5],,OE17501 [SMS3],,EC17311 [FE18],EC17314 [FEW15]
Friday,EC17302 [NLH1],,,,,,EC17302 [FEW15],EC17313 [GS6],EC17304 [SEW7],EC17304 [SEW7]
Saturday,EC17304 [FEW15],,,EC17313 [GS8],,,EC17101 [FN1],EC17311 [NLH1],EC17301 [GS6],
