,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,AMN13101 (G2) [mat test] / EEN13200 (G1) [EE-lab3],AMN13101 (G2) [mat test] / EEN13200 (G1) [EE-lab3],MEN13103 [FE18],,MEN13102 [FC5],,MEN13102 (G3) [heat engine],MEN13102 (G3) [heat engine],MEN13101 (G3) [mech lab4] / AMN13104 (G2) [fluid mech] / MEN13102 (G1) [heat engine],MEN13101 (G3) [mech lab4] / AMN13104 (G2) [fluid mech] / MEN13102 (G1) [heat engine]
Tuesday,,EEN13200 (G2) [EE-lab3],EEN13200 (G2) [EE-lab3],EEN13200 [SEW10],MEN13103 [FC5],,MEN13101 (G1) [mech lab4],MEN13101 (G1) [mech lab4],AMN13104 [FE18],MEN13102 [FC5]
Wednesday,MEN13101 [FN1],,,,EEN13200 [SEW8],,AMN13104 [FE16],,AMN13101 [GS6],
Thursday,,AMN13101 [GS4],,AMN13101 [GS6],,,MEN13101 [FEW1],AMN13101 (G3) [mat test] / MEN13102 (G2) [heat engine],AMN13101 (G3) [mat test] / MEN13102 (G2) [heat engine],
Friday,AMN13104 (G3) [fluid mech],AMN13104 (G3) [fluid mech],MEN13103 [FN4],,AMN13104 [FE16],,,MEN13102 [SEW9],,
Saturday,AMN13101 (G1) [mat test],AMN13101 (G1) [mat test],MEN13101 (G2) [mech lab4] / AMN13104 (G1) [fluid mech],MEN13101 (G2) [mech lab4] / AMN13104 (G1) [fluid mech],MEN13101 [FEW15],,,,EEN13200 (G3) [EE-lab3],EEN13200 (G3) [EE-lab3]
