,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,MAN11101 [SMS1],HSN11600 (H3) [comm lab],HSN11600 (H3) [comm lab],,MAN11101 [GS5],,,,,
Tuesday,,,HSN11600 (H1) [comm lab],HSN11600 (H1) [comm lab],MEN11101 [GS6],,HSN11600 [GS7],,CYN11502 [GS4],
Wednesday,MAN11101 [GS8],CYN11502 (H3) [chemistry lab],CYN11502 (H3) [chemistry lab],,HSN11600 [GS3],,,AMN11101 [FE16],HSN11600 (H2) [comm lab],HSN11600 (H2) [comm lab]
Thursday,,,,CYN11502 (H2) [chemistry lab],CYN11502 (H2) [chemistry lab],,MEN11101 [CSNB2],MEN11101 [SEW8],AMN11101 [SMS3],
Friday,,,,MAN11101 [FE17],,,MEN11602 (H1) [mechanical workshop],MEN11602 (H1) [mechanical workshop],CYN11502 (H1) [chemistry lab] / MEN11602 (H3) [mechanical workshop],CYN11502 (H1) [chemistry lab] / MEN11602 (H3) [mechanical workshop]
Saturday,,CYN11502 [SEW1],,MEN11602 [FN1],AMN11101 [FC5],,CYN11502 [FE17],,MEN11602 (H2) [mechanical workshop],MEN11602 (H2) [mechanical workshop]
