,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,OE17501 [GS6],,CE17103 [FC5],,,,CE17305 [GS6],CE17103 [GS8],CE17102 [GS7],
Tuesday,CE17305 [FEW15],,CE17101 [SMS2],CE17302 [LH4],,,CE17101 (J2) [concrete lab],CE17101 (J2) [concrete lab],,
Wednesday,,,CE17102 [FC5],,,,OE17501 [LH3],,,
Thursday,CE17302 [FN4],CE17305 [CSNB2],,,,,,OE17501 [FC5],,
Friday,,,,CE17101 [CSNB2],,,CE17302 [LH3],CE17102 [FN3],,CE17305 [NLH1]
Saturday,,CE17101 (J1) [concrete lab],CE17101 (J1) [concrete lab],CE17101 [SEW7],,,CE17103 [FN4],CE17302 [GS5],,
