,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,CS35103 [LH5],CS35104 [LH5],,,,,CS35101 [SEW8],,,
Tuesday,,,,,,,,CS35104 [SMS1],,
Wednesday,,,CS35101 (MCA52) [CCSF],CS35101 (MCA52) [CCSF],CS35102 [SMS1],,,,CS35101 [LH7],
Thursday,CS35102 (MCA51) [CCTF],CS35102 (MCA51) [CCTF],,,CS35102 [GS6],,,CS35101 [LH5],CS35102 (MCA52) [CCTF],CS35102 (MCA52) [CCTF]
Friday,,,CS35101 (MCA51) [CCSF],CS35101 (MCA51) [CCSF],CS35102 [GW4],,,,,
Saturday,,,,,,,CS35103 [LH6],,,CS35102 [GS4]
