,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,CSN13400 (A3) [CCTF],CSN13400 (A3) [CCTF],CSN13403 [FEW15],,,CSN13401 [GS3],,CSN13403 [CSNB2],CSN13400 [FEW15]
Tuesday,CSN13250 [GS5],CSN13250 (A2) [CCTF],CSN13250 (A2) [CCTF],CSN13403 [FC5],,,,CSN13401 [SEW10],,
Wednesday,CSN13401 [CSNB1],,,,CSN13400 [SMS3],,CSN13402 [FN1],,,
Thursday,,CSN13401 [FE18],,,CSN13400 [NLH1],,CSN13250 (A1) [CCTF],CSN13250 (A1) [CCTF],,
Friday,CSN13402 [FE18],CSN13400 (A1) [CCTF],CSN13400 (A1) [CCTF],CSN13250 (A3) [CCTF],CSN13250 (A3) [CCTF],,CSN13400 [SMS3],,,
Saturday,,,CSN13400 (A2) [CCTF],CSN13400 (A2) [CCTF],,,,,CSN13402 [FE18],CSN13250 [FEW15]
