,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,,,,,,CHN11101 [SEW7],HSN11600 (L1) [comm lab],HSN11600 (L1) [comm lab],CYN11503 [SMS2]
Tuesday,,MAN11101 [GS8],CYN11503 [SMS1],CYN11503 (L1) [chemistry lab],CYN11503 (L1) [chemistry lab],,,,,
Wednesday,,MAN11101 [CSNB2],,CYN11503 [LH4],,,CYN11503 (L2) [chemistry lab],CYN11503 (L2) [chemistry lab],MAN11101 [FEW1],
Thursday,,HSN11600 [NLH2],,CHN11101 [SMS2],MAN11101 [FN4],,,,MEN11101 [SEW7],MEN11101 [SEW1]
Friday,HSN11600 [FEW1],,,,MEN11101 [LH3],,,,CHN11101 [GS7],
Saturday,,,HSN11600 (L2) [comm lab],HSN11600 (L2) [comm lab],,,,,,
