,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,EE17301 [GS7],EE17305 [FN3],EE17301 [NLH1],,,,,,EE17101 [GS4]
Tuesday,,EE17101 [SEW9],EE17102 [FEW15],EE17101 (N1) [EE-lab2],EE17101 (N1) [EE-lab2],,,EE17101 [FEW1],OE17501 [GS8],
Wednesday,,,EE17301 [SEW1],,,,EE17102 [NLH1],,EE17305 [GS7],
Thursday,,OE17501 [SEW8],OE17501 [GS4],OE17501 [CSNB1],,,EE17101 (N2) [EE-lab2],EE17101 (N2) [EE-lab2],EE17305 [FE16],
Friday,EE17101 (N3) [EE-lab2],EE17101 (N3) [EE-lab2],,,,,,,,EE17102 [CSNB1]
Saturday,,,,EE17102 [CSNB1],,,EE17305 [CSNB1],,EE17101 [SEW1],EE17301 [NLH2]
