,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,,EE15102 (N1) [EE-lab2],EE15101 (N3) [EE-lab1] / EE15102 (N1) [EE-lab2],EE15101 (N3) [EE-lab1],,,EE15102 (N2) [EE-lab2],EE15102 (N2) [EE-lab2],EE15101 [GS8]
Tuesday,EE15101 (N1) [EE-lab1],EE15101 (N1) [EE-lab1] / EE15104 (N2) [EE-lab4],EE15104 (N2) [EE-lab4],EE15101 (N2) [EE-lab1] / EE15103 (N3) [EE-lab3],EE15101 (N2) [EE-lab1] / EE15103 (N3) [EE-lab3],,EE15103 [FN1],,EE15103 [SEW1],
Wednesday,EE15104 [SMS1],EE15101 [FC5],EE15104 [GS7],,,,,EE15102 [GS5],,EE15101 [SEW8]
Thursday,,HS15101 [SEW1],,EE15102 [SMS3],,,,HS15101 [SEW9],EE15101 [SEW10],
Friday,EE15104 [SEW8],EE15104 [GS7],EE15102 [SEW7],HS15101 [FN4],,,EE15103 (N1) [EE-lab3] / EE15104 (N3) [EE-lab4],EE15103 (N1) [EE-lab3] / EE15104 (N3) [EE-lab4],,EE15103 [NLH2]
Saturday,,EE15103 [GS4],EE15103 (N2) [EE-lab3],EE15103 (N2) [EE-lab3],EE15102 [SEW1],,,EE15102 (N3) [EE-lab2] / EE15104 (N1) [EE-lab4],EE15102 (N3) [EE-lab2] / EE15104 (N1) [EE-lab4],
