,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,ME15104 [SMS2],ME15103 (G2) [mechanical workshop],ME15103 (G2) [mechanical workshop],,,ME15103 [NLH2],ME15102 [CSNB1],,ME15104 [FEW1]
Tuesday,ME15101 [FEW1],ME15101 (G2) [CAD],ME15101 (G2) [CAD],ME15103 (G3) [mechanical workshop],ME15103 (G3) [mechanical workshop],,ME15103 (G1) [mechanical workshop],ME15103 (G1) [mechanical workshop],ME15101 [SEW10],
Wednesday,,HS15101 [NLH2],ME15104 [GS8],ME15103 [GS5],,,ME15103 [GS7],,ME15104 [SMS3],ME15102 [SMS1]
Thursday,,,ME15102 (G1) [CAD],ME15102 (G1) [CAD] / ME15104 (G3) [heat engine],ME15104 (G3) [heat engine],,HS15101 [GS3],ME15102 (G3) [CAD],ME15102 (G3) [CAD],
Friday,,ME15101 [FE17],ME15102 [GS3],HS15101 [CSNB1],ME15101 [SEW9],,ME15101 (G3) [CAD],ME15101 (G3) [CAD],ME15102 (G2) [CAD],ME15102 (G2) [CAD]
Saturday,ME15101 (G1) [CAD] / ME15104 (G2) [heat engine],ME15101 (G1) [CAD] / ME15104 (G2) [heat engine],ME15103 [NLH1],,,,,ME15102 [FE17],ME15104 (G1) [heat engine],ME15104 (G1) [heat engine]
