,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,,CYN11502 (G3) [chemistry lab],CYN11502 (G3) [chemistry lab],,AMN11101 [SMS1],,,AMN11101 [NLH2],,
Tuesday,MEN11602 (G2) [mechanical workshop],MEN11602 (G2) [mechanical workshop],CYN11502 [NLH2],,CYN11502 [GS5],,,CYN11502 (G1) [chemistry lab],CYN11502 (G1) [chemistry lab],
Wednesday,HSN11600 (G1) [comm lab],HSN11600 (G1) [comm lab],HSN11600 [FE16],,,,MEN11101 [SEW10],MEN11602 [CSNB1],CYN11502 (G2) [chemistry lab],CYN11502 (G2) [chemistry lab]
Thursday,MEN11602 (G3) [mechanical workshop],MEN11602 (G3) [mechanical workshop],MEN11101 [FC5],,,,,,HSN11600 (G2) [comm lab] / MEN11602 (G1) [mechanical workshop],HSN11600 (G2) [comm lab] / MEN11602 (G1) [mechanical workshop]
Friday,MAN11101 [FN3],,AMN11101 [GS5],,MAN11101 [GS3],,MAN11101 [GS6],MEN11101 [CSNB2],HSN11600 [CSNB2],
Saturday,MAN11101 [SMS2],,,,,,CYN11502 [FE18],HSN11600 (G3) [comm lab],HSN11600 (G3) [comm lab],
