,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
Monday,ME15103 [FEW15],,ME15103 [FN1],,ME15101 [FN3],,,ME15103 [FEW15],,
Tuesday,ME15111 [FN1],,ME15103 [SEW8],,,,,ME15101 (M1) [CAD],ME15101 (M1) [CAD] / ME15103 (M2) [mechanical workshop],ME15103 (M2) [mechanical workshop]
Wednesday,HS15101 [FE17],ME15102 [GS8],HS15101 [SEW9],ME15111 [CSNB1],,,ME15101 (M2) [CAD],ME15101 (M2) [CAD],ME15101 [FC5],
Thursday,,ME15102 [FN3],HS15101 [FN1],ME15111 [FEW15],,,,,,
Friday,ME15101 [SEW1],ME15102 [CSNB1],ME15102 (M2) [CAD],ME15102 (M2) [CAD],,,,ME15102 [FE16],,
Saturday,,ME15101 [FE18],,ME15111 [CSNB2],,,ME15103 (M1) [mechanical workshop],ME15103 (M1) [mechanical workshop],ME15102 (M1) [CAD],ME15102 (M1) [CAD]
